"","TVC.division","TVC.migration","ATM.division","ATM.migration","other"
"Depdc.image18_left.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Depdc.image18_right.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Depdc.image19_left.2020_01_10","inhibited","inhibited","WT","WT","WT"
"Depdc.image19_right.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Depdc.image2_left.2020_01_10","WT","WT","enhanced","WT","WT"
"Depdc.image2_left.2020_06_17","WT","WT","enhanced","WT","WT"
"Depdc.image2_right.2020_01_10","WT","WT","WT","WT","WT"
"Depdc.image2_right.2020_06_17","WT","WT","enhanced","WT","TVC alignment"
"Depdc.image2.2020_06_17","WT","WT","WT","WT","WT"
"Depdc.image20_left.2020_01_10","WT","WT","WT","WT","WT"
"Depdc.image20_right.2020_01_10","WT","WT","WT","WT","WT"
"Depdc.image21.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Depdc.image22_left.2020_01_10","WT","WT","WT","WT","WT"
"Depdc.image22_right.2020_01_10","WT","WT","WT","WT","WT"
